id,name,kind,category,icon,representative_peak_mass_kg,body_length_m,shoulder_or_body_height_m,burst_speed_kph,effective_reach_m,attack,defense,durability,agility,stamina,intelligence,aggression,coordination,morale,armor,multi_target,habitats,attack_modes,traits,can_fly,aquatic,venomous,ranged,regenerates,undead_or_construct,data_confidence,source_label,source_url,model_notes
triceratops,Triceratops,extinct,dinosaur,🦕,9000,9.0,3.0,25,2.6,94,94,96,34,76,38,74,38,92,90,64,prehistoric-open,horn; charge; trample,extinct; armored-skull,False,False,False,False,False,False,medium,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Triceratops,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
ankylosaurus,Ankylosaurus,extinct,dinosaur,🦕,8000,8.0,1.7,10,2.0,84,99,98,22,82,34,68,24,94,100,70,prehistoric-open,tail-club; ram,extinct; heavy-armor,False,False,False,False,False,False,medium,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Ankylosaurus,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
stegosaurus,Stegosaurus,extinct,dinosaur,🦕,5000,9.0,4.0,15,2.2,82,90,90,27,78,30,64,28,90,88,64,prehistoric-open,tail-spike; stomp,extinct; plates,False,False,False,True,False,False,medium,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Stegosaurus,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
woolly-mammoth,Woolly mammoth,extinct,megafauna,🐘,7000,6.0,3.5,35,3.0,92,94,96,32,84,58,66,65,90,80,72,snow; steppe,tusk; trample; charge,extinct; cold-adapted; thick-fur,False,False,False,False,False,False,medium,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Woolly_mammoth,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
smilodon,Smilodon,extinct,apex-predator,🐅,280,2.1,1.1,50,1.0,84,64,75,68,58,52,80,25,84,30,46,prehistoric-open; forest,saber-bite; claw; grapple,extinct; ambush,False,False,False,False,False,False,medium,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Smilodon,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
megalodon,Megalodon,extinct,marine-predator,🦈,60000,18.0,3.5,35,3.0,100,94,100,45,86,42,84,12,96,52,72,prehistoric-ocean,bite; ram,extinct; aquatic; apex-predator,False,True,False,False,False,False,low,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Megalodon,Size and performance estimates vary substantially; this is a cinematic but biologically bounded reconstruction.
unarmed-peak-adult-human,Unarmed peak adult human,human,human,🧍,100,1.9,1.9,32,0.8,42,37,46,66,66,88,62,72,72,8,28,urban; open; forest,strike; kick; grapple,hands; tool-potential,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Human,"Assumes a large, healthy peak adult with no equipment and no specialised combat training."
trained-unarmed-fighter,Trained unarmed fighter,human,human,🥋,95,1.88,1.88,30,0.9,56,45,54,78,76,90,74,84,86,10,38,urban; open,strike; kick; grapple,hands; trained,False,False,False,False,False,False,low,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Combat_sport,Generic composite profile; not a specific person or combat sport.
armoured-spear-carrier,Armoured spear carrier,human,human,🛡️,115,1.9,1.9,22,2.5,70,72,62,52,72,88,70,92,90,72,44,open; fortification; urban,spear; shield; grapple,equipment; formation,False,False,False,False,False,False,low,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Spear,"Generic pre-modern equipment abstraction, included to exercise reach, armour and formation mechanics."
prepared-archer,Prepared archer,human,human,🏹,90,1.85,1.85,25,80,68,38,45,64,70,90,60,88,78,12,58,open; forest; fortification,bow; knife,equipment; ranged; limited-ammunition,False,False,False,True,False,False,low,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Archery,Generic ranged profile with finite ammunition; not tied to a named culture or historical unit.
western-dragon,Western dragon,fantasy,mythic-beast,🐉,18000,18,6,70,35,100,96,100,72,92,90,92,54,98,96,100,mountain; open; sky,bite; claw; tail; fire-breath,flight; fire; armored; ranged,True,False,False,True,False,False,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Dragon,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
wyvern,Wyvern,fantasy,mythic-beast,🐲,4500,11,3.5,95,18,91,78,86,84,82,68,90,42,92,72,82,mountain; open; sky,bite; talon; tail-sting,flight; venom,True,False,True,False,False,False,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Wyvern,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
griffin,Griffin,fantasy,mythic-beast,🦅,650,5.0,2.2,120,2.0,82,64,72,90,78,72,82,58,90,35,58,mountain; open; sky,talon; beak; claw; pounce,flight,True,False,False,False,False,False,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Griffin,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
hydra,Hydra,fantasy,mythic-beast,🐍,9000,14,4,25,7.0,96,90,98,42,90,58,96,30,99,78,100,swamp; river,many-bites; tail; crush,regeneration; many-heads; venom; amphibious,False,True,True,False,True,False,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Lernaean_Hydra,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
kraken,Kraken,fantasy,mythic-beast,🐙,150000,60,8,30,25,100,94,100,58,98,76,88,28,98,50,100,ocean; deep-ocean,tentacle; crush; drag; beak,aquatic; many-limbs; colossal,False,True,False,False,False,False,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Kraken,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
roc,Roc,fantasy,mythic-beast,🦅,12000,25,10,180,12,98,82,92,84,86,60,84,34,94,44,82,mountain; sky; open,talon; beak; drop,flight; colossal,True,False,False,False,False,False,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Roc_%28mythology%29,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
phoenix,Phoenix,fantasy,mythic-beast,🔥,180,4,2,160,2.0,85,70,88,94,95,82,80,38,100,34,72,sky; desert; mountain,talon; beak; fire-burst,flight; fire; regeneration,True,False,False,False,True,False,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Phoenix_%28mythology%29,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
minotaur,Minotaur,fantasy,humanoid,🐂,700,3.0,3.0,38,1.8,85,74,86,58,82,64,88,46,94,42,52,labyrinth; urban; open,horn; axe; charge; grapple,hands,False,False,False,False,False,False,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Minotaur,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
cyclops,Cyclops,fantasy,humanoid,👁️,3500,6.0,6.0,25,4.0,92,80,92,38,84,58,86,28,94,36,70,mountain; cave; open,club; throw; stomp; grapple,hands; giant,False,False,False,False,False,False,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Cyclopes,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
centaur,Centaur,fantasy,humanoid,🏹,700,2.8,2.4,70,2.5,75,62,72,72,84,76,66,82,84,28,46,open; forest,spear; kick; bow,hands; ranged; formation,False,False,False,True,False,False,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Centaur,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
hill-giant,Hill giant,fantasy,humanoid,🗿,6000,7.0,7.0,28,5.0,94,82,94,35,84,52,76,34,92,42,82,mountain; open; forest,club; throw; stomp; grapple,hands; giant,False,False,False,False,False,False,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Giant,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
troll,Troll,fantasy,humanoid,👹,1200,3.5,3.5,32,2.0,83,80,94,48,88,42,90,28,97,46,58,forest; cave; bridge,claw; bite; club; grapple,regeneration,False,False,False,False,True,False,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Troll,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
ogre,Ogre,fantasy,humanoid,👺,900,3.2,3.2,30,1.8,82,70,84,44,78,38,88,24,92,34,52,forest; cave; open,club; grapple; bite,hands,False,False,False,False,False,False,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Ogre,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
goblin-skirmisher,Goblin skirmisher,fantasy,humanoid,👺,45,1.3,1.3,34,1.2,46,34,42,76,72,66,82,94,82,18,36,cave; forest; urban,spear; knife; bow,hands; swarm; ranged,False,False,False,True,False,False,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Goblin,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
werewolf,Werewolf,fantasy,humanoid,🐺,180,2.2,2.2,65,1.0,84,68,84,88,86,68,98,42,98,24,46,forest; urban; night,bite; claw; pounce,regeneration; night-vision,False,False,False,False,True,False,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Werewolf,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
vampire,Vampire,fantasy,undead,🧛,95,1.9,1.9,80,1.2,78,66,82,94,96,92,82,38,98,20,54,urban; castle; night,bite; claw; grapple,undead; regeneration; hypnosis,False,False,False,False,True,True,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Vampire,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
zombie,Zombie,fantasy,undead,🧟,85,1.8,1.8,7,0.7,34,48,72,18,100,18,100,82,100,6,24,urban; open,bite; grapple,undead; swarm; fearless,False,False,False,False,False,True,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Zombie,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
stone-golem,Stone golem,fantasy,construct,🗿,3000,3.5,3.5,15,2.2,88,98,100,18,100,35,100,18,100,100,66,cave; urban; fortification,fist; stomp; grapple,construct; armored; fearless,False,False,False,False,False,True,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Golem,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
unicorn,Unicorn,fantasy,mythic-beast,🦄,650,2.6,1.8,85,1.8,78,68,78,76,88,74,68,52,94,34,50,forest; open,horn; kick; charge,magic; healing,False,False,False,False,False,False,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Unicorn,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
basilisk,Basilisk,fantasy,mythic-beast,🐍,400,5.0,1.1,25,8.0,88,76,82,55,74,66,92,20,96,62,66,desert; cave; ruin,bite; gaze; venom,venom; ranged; petrification,False,False,True,True,False,False,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Basilisk,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
cerberus,Cerberus,fantasy,mythic-beast,🐕,900,4.0,2.4,60,1.6,88,74,86,70,88,70,96,52,98,38,82,underworld; cave; open,many-bites; claw; pounce,many-heads; fearless,False,False,False,False,False,False,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Cerberus,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
chimera,Chimera,fantasy,mythic-beast,🦁,850,4.5,2.2,58,12.0,90,70,82,72,82,62,94,34,96,42,82,mountain; open,bite; claw; horn; fire-breath,fire; ranged; many-heads,False,False,False,True,False,False,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Chimera_%28mythology%29,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
manticore,Manticore,fantasy,mythic-beast,🦁,600,4.0,1.8,65,35.0,86,66,76,78,76,74,88,32,92,32,78,desert; open; mountain,bite; claw; tail-spike,ranged; venom,False,False,True,True,False,False,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Manticore,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
giant-spider,Giant spider,fantasy,mythic-beast,🕷️,500,4.0,1.5,45,15.0,82,68,76,84,78,60,94,24,96,58,74,forest; cave; ruin,bite; web; grapple,venom; ranged; climber,False,False,True,True,False,False,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Spider_in_mythology,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
sperm-whale,Sperm whale,animal,marine-mammal,🐋,50000,18,3.5,37,5.0,96,88,98,48,90,84,50,70,94,58,60,ocean; deep-ocean,bite; ram; tail-strike,aquatic; echolocation; deep-diver,False,True,False,False,False,False,medium,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Sperm_whale,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
blue-whale,Blue whale,animal,marine-mammal,🐋,150000,28,4.5,33,6.0,75,90,100,38,92,72,18,55,88,52,55,ocean; deep-ocean,tail-strike; ram,aquatic; colossal,False,True,False,False,False,False,medium,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Blue_whale,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
colossal-squid,Colossal squid,animal,cephalopod,🦑,500,10,1.2,20,5.0,78,54,70,64,70,60,72,18,82,15,80,deep-ocean,beak; tentacle; grapple,aquatic; many-limbs; hooks,False,True,False,False,False,False,low,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Colossal_squid,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
tiger-shark,Tiger shark,animal,marine-predator,🦈,900,5.5,1.0,32,1.0,87,70,80,68,78,48,78,12,87,35,38,ocean; coast,bite; ram,aquatic; electroreception,False,True,False,False,False,False,medium,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Tiger_shark,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
bull-shark,Bull shark,animal,marine-predator,🦈,320,3.4,0.7,40,0.8,80,66,74,72,78,47,84,12,88,32,35,ocean; coast; river,bite; ram,aquatic; electroreception,False,True,False,False,False,False,medium,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Bull_shark,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
southern-elephant-seal,Southern elephant seal,animal,marine-mammal,🦭,4000,6.0,2.0,24,1.5,83,86,92,36,84,48,82,25,92,67,52,ocean; coast; ice,bite; crush; body-slam,aquatic; land-capable; thick-hide; cold-adapted,False,True,False,False,False,False,medium,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Southern_elephant_seal,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
american-bison,American bison,animal,large-herbivore,🦬,1000,3.5,1.9,56,1.7,84,82,86,52,80,42,78,58,88,64,58,open; snow,horn; charge; trample,herd; cold-adapted,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/American_bison,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
cougar,Cougar,animal,apex-predator,🐆,100,2.4,0.8,72,0.8,76,56,64,88,68,60,76,28,80,24,44,mountain; forest; open,bite; claw; pounce,ambush; climber,False,False,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Cougar,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
nile-crocodile,Nile crocodile,animal,reptile,🐊,1000,5.5,0.7,30,1.2,91,88,90,40,72,44,90,24,92,86,48,river; swamp,bite; death-roll; tail-strike,armored; amphibious; ambush,False,True,False,False,False,False,high,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Nile_crocodile,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
spinosaurus,Spinosaurus,extinct,dinosaur,🦖,7500,14.5,4.5,24,2.7,94,82,90,43,72,48,78,16,90,48,62,river; swamp; coast,bite; claw; ram,extinct; aquatic; semi-aquatic,False,True,False,False,False,False,low,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Spinosaurus,"Large adult semi-aquatic reconstruction; body mass, gait and performance remain disputed."
allosaurus,Allosaurus,extinct,dinosaur,🦖,2200,9,3,32,2.0,89,70,82,60,72,48,84,22,88,32,52,prehistoric-open; forest,bite; claw; ram,extinct; apex-predator,False,False,False,False,False,False,medium,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Allosaurus,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
deinosuchus,Deinosuchus,extinct,prehistoric-crocodilian,🐊,8000,10,1.2,20,2.0,98,96,98,28,82,38,86,12,95,96,60,river; swamp,bite; death-roll; ram,extinct; aquatic; amphibious; armored; ambush,False,True,False,False,False,False,low,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Deinosuchus,Large adult reconstruction; mass and performance estimates vary substantially.
sarcosuchus,Sarcosuchus,extinct,prehistoric-crocodilian,🐊,4000,10,1.0,20,1.8,93,91,94,30,80,38,82,10,92,90,55,river; swamp,bite; death-roll; ram,extinct; aquatic; amphibious; armored; ambush,False,True,False,False,False,False,low,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Sarcosuchus,Large adult reconstruction; mass and performance estimates vary substantially.
argentinosaurus,Argentinosaurus,extinct,sauropod,🦕,70000,32,7,15,7.0,98,98,100,15,90,36,55,45,95,82,88,prehistoric-open,tail-strike; stomp; trample,extinct; colossal,False,False,False,False,False,False,low,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Argentinosaurus,Colossal adult reconstruction with high uncertainty in mass and movement.
titanoboa,Titanoboa,extinct,prehistoric-reptile,🐍,1100,13,0.6,10,2.0,88,68,85,42,80,38,74,10,90,38,52,river; swamp; forest,bite; constrict,extinct; aquatic; ambush,False,True,False,False,False,False,medium,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Titanoboa,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
megatherium,Megatherium,extinct,prehistoric-mammal,🦥,4000,6,3.5,15,2.2,86,80,90,35,78,44,70,18,88,58,60,prehistoric-open; forest,claw; grapple; strike,extinct; thick-hide,False,False,False,False,False,False,medium,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Megatherium,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
cave-bear,Cave bear,extinct,prehistoric-mammal,🐻,1000,3.2,1.6,40,1.5,88,82,90,48,80,45,72,15,88,58,48,forest; cave,bite; claw; grapple,extinct; thick-fur,False,False,False,False,False,False,medium,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Cave_bear,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
giant-short-faced-bear,Giant short-faced bear,extinct,prehistoric-mammal,🐻,900,3,1.8,50,1.5,89,78,88,56,78,48,80,20,89,52,50,prehistoric-open; forest,bite; claw; grapple,extinct,False,False,False,False,False,False,low,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Arctodus_simus,Large adult reconstruction; running ability and ecology are uncertain.
therizinosaurus,Therizinosaurus,extinct,dinosaur,🦕,5000,10,5,25,3.5,92,78,88,46,76,42,76,20,90,46,74,prehistoric-open; forest,claw; stomp; strike,extinct,False,False,False,False,False,False,low,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Therizinosaurus,Large adult reconstruction; claw use and defensive behaviour are model assumptions.
giganotosaurus,Giganotosaurus,extinct,dinosaur,🦖,8000,13,4,32,2.6,97,83,92,52,76,50,84,16,92,46,58,prehistoric-open,bite; ram,extinct; apex-predator,False,False,False,False,False,False,medium,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Giganotosaurus,"Representative high-end adult profile; normalized combat scores are model inputs, not direct zoological measurements."
mapusaurus,Mapusaurus,extinct,dinosaur,🦖,5000,11.5,3.5,32,2.3,94,78,88,56,78,48,86,35,90,42,55,prehistoric-open,bite; ram,extinct; apex-predator; pack-possible,False,False,False,False,False,False,low,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Mapusaurus,Pack behaviour is possible but not established; the group score is a transparent model assumption.
bigfoot,Bigfoot,fantasy,cryptid,👣,350,2.5,2.5,40,1.4,76,65,80,62,78,72,68,25,84,35,45,forest; mountain,bite; grapple; strike,hands; climber,False,False,False,False,False,False,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Bigfoot,Fixed app interpretation: a 350 kg forest-dwelling biped with no supernatural abilities.
yeti,Yeti,fantasy,cryptid,👣,380,2.5,2.5,35,1.4,78,70,84,55,84,68,72,20,88,45,46,mountain; snow,bite; grapple; strike,hands; climber; cold-adapted; thick-fur,False,False,False,False,False,False,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Yeti,Fixed app interpretation: a 380 kg cold-adapted biped with no supernatural abilities.
loch-ness-monster,Loch Ness Monster,fantasy,cryptid,🐉,12000,12,2,30,3,88,80,92,46,84,54,68,22,90,50,62,river; deep-ocean,bite; ram; tail-strike,aquatic; deep-diver,False,True,False,False,False,False,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Loch_Ness_Monster,"Fixed app interpretation: a 12-tonne long-necked aquatic cryptid, not an unspecified legendary version."
mothman,Mothman,fantasy,cryptid,🦋,90,2,2,100,1,60,52,58,92,74,70,60,18,78,12,50,forest; urban; night,claw; grapple; dive,flight; night-vision,True,False,False,False,False,False,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Mothman,Fixed app interpretation: a flying nocturnal humanoid with no precognition or supernatural attack.
chupacabra,Chupacabra,fantasy,cryptid,🐾,45,1.4,0.8,55,0.6,60,45,52,82,72,55,90,25,84,15,36,scrub; farm; night,bite; claw; pounce,ambush; night-vision,False,False,False,False,False,False,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Chupacabra,Fixed app interpretation: a 45 kg nocturnal ambush predator with no supernatural abilities.
jersey-devil,Jersey Devil,fantasy,cryptid,🪽,180,2.2,2,85,1.2,72,58,68,86,78,65,88,22,90,28,54,forest; swamp; night,bite; claw; hoof-strike,flight; night-vision,True,False,False,False,False,False,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Jersey_Devil,Fixed app interpretation: a 180 kg flying cryptid with physical attacks only.
thunderbird-cryptid-interpretation,Thunderbird (cryptid interpretation),fantasy,cryptid,🦅,8000,20,8,180,10,96,82,92,82,86,62,84,30,94,48,82,mountain; open; sky,talon; beak; drop,flight; colossal,True,False,False,False,False,False,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Thunderbird_%28mythology%29,Fictional cryptozoological composite for this app; not an authentic representation of any Indigenous tradition and has no lightning magic.
bunyip-fixed-model,Bunyip (fixed model),fantasy,cryptid,🐾,700,4,1.5,35,1.5,80,70,78,60,76,55,86,18,90,40,48,river; swamp,bite; claw; ram,aquatic; amphibious; ambush; night-vision,False,True,False,False,False,False,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Bunyip,Fictional cryptozoological composite for this app; not an authentic representation of any Aboriginal tradition.
medusa,Medusa,fantasy,mythic-humanoid,🐍,90,1.8,1.8,25,30,72,58,64,68,78,90,84,20,98,18,80,ruin; cave; open,gaze; venomous-bite; grapple,petrification; ranged; venom,False,False,True,True,False,False,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Medusa,Classical mortal Gorgon interpretation with line-of-sight petrification.
nemean-lion,Nemean lion,fantasy,mythic-beast,🦁,350,3,1.3,65,1.1,88,94,96,78,80,52,86,15,98,100,52,forest; open,bite; claw; pounce,impenetrable-hide; armored,False,False,False,False,False,False,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Nemean_lion,Classical interpretation with hide resistant to ordinary weapons.
scylla,Scylla,fantasy,mythic-beast,🐙,20000,20,10,30,10,100,92,98,50,94,64,98,35,100,72,100,ocean; coast,many-bites; tentacle; crush,aquatic; many-heads; many-limbs; colossal,False,True,False,False,False,False,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Scylla,Classical multi-headed sea-monster interpretation.
charybdis,Charybdis,fantasy,mythic-hazard,🌀,500000,80,20,0,40,100,95,100,5,100,30,100,0,100,85,100,ocean; coast,whirlpool; drag; devour,aquatic; colossal; ranged,False,True,False,True,False,False,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Charybdis,Stationary personified whirlpool treated as a combatant-shaped environmental hazard; results are especially abstract.
siren,Siren,fantasy,mythic-humanoid,🎶,70,1.8,1.8,60,50,58,45,50,82,74,82,72,80,84,8,88,coast; sky,song; claw; grapple,flight; ranged; hypnosis,True,False,False,True,False,False,modelled,Orientation reference; production values require expert review,https://en.wikipedia.org/wiki/Siren_%28mythology%29,Classical bird-bodied singer interpretation rather than the later mermaid form.
